attempt,verdict,pred,conf,sha256,confirmed_file,failed_file
1,captcha_ok,1QUF,0.9347,7ecc2986c6ad90cd,1QUF_0001.jpg,
2,captcha_ok,NG3V,0.9896,9b2d5033d2000a82,NG3V_0002.jpg,
3,captcha_ok,MIJ6,0.9195,4fdc4011c2830bd4,MIJ6_0003.jpg,
4,captcha_ok,9XN6,0.9893,20af03fbe4a70943,9XN6_0004.jpg,
5,captcha_ok,P4IA,0.9936,4934e138fd6ad8cd,P4IA_0005.jpg,
6,captcha_ok,0PC9,0.998,41e0988c25945d5a,0PC9_0006.jpg,
7,captcha_ok,XQCH,0.9828,25c06d6d5d9bf538,XQCH_0007.jpg,
8,captcha_ok,NHKL,0.9956,2a2d8e9bbd45a63b,NHKL_0008.jpg,
9,captcha_ok,YRFE,0.9958,c848176bada1c2c5,YRFE_0009.jpg,
10,captcha_ok,UEYS,0.9997,d08f770337fc9919,UEYS_0010.jpg,
11,captcha_ok,D7N9,0.9991,ea7df5b6ba90c4b5,D7N9_0011.jpg,
12,captcha_ok,RDH4,0.8834,7e981bb8867339c7,RDH4_0012.jpg,
13,captcha_ok,A64N,0.9997,7f30c2d2fa4c446f,A64N_0013.jpg,
14,captcha_wrong,YZLT,0.9154,7c29a07ee7a11374,,fail_0014.jpg
15,captcha_ok,84UI,0.9457,a601c2e1df39d63f,84UI_0015.jpg,
16,captcha_ok,0APH,0.9984,7893a969b3b3e204,0APH_0016.jpg,
17,captcha_ok,09Q8,0.9917,7aee98b00cbc9151,09Q8_0017.jpg,
18,captcha_ok,7C47,0.9963,09fdf8333b2bb1aa,7C47_0018.jpg,
19,captcha_ok,9HHS,0.9914,8584a5e865f93406,9HHS_0019.jpg,
20,captcha_ok,FJ2Z,0.9949,98aa3b75ec54a03e,FJ2Z_0020.jpg,
21,captcha_ok,MPRG,0.9978,290c4904e5fc0952,MPRG_0021.jpg,
22,captcha_ok,LEIQ,0.9683,cb07edd209310791,LEIQ_0022.jpg,
23,captcha_ok,72NN,0.904,2a9f309640ede180,72NN_0023.jpg,
24,captcha_ok,FLCN,0.9956,7c7147ea00d2afdd,FLCN_0024.jpg,
