attempt,verdict,pred,conf,sha256,confirmed_file,failed_file
1,captcha_ok,A70P,0.8753,c401c3d5a5261a39,A70P_0001.jpg,
2,captcha_ok,SVYH,0.9993,61f1c80e6777547a,SVYH_0002.jpg,
3,captcha_ok,I25Z,0.879,ae6d035925dcb18e,I25Z_0003.jpg,
4,captcha_ok,QO4G,0.9517,cb03eb037823d871,QO4G_0004.jpg,
5,captcha_ok,XRC2,0.9328,cff9c4db3baa02f6,XRC2_0005.jpg,
6,captcha_ok,8J29,0.9949,f8ffe339349f0d62,8J29_0006.jpg,
7,captcha_ok,BKOU,0.9977,95910eae79e03b71,BKOU_0007.jpg,
8,captcha_wrong,MCU,0.9969,0b1a37c978c1690c,,fail_0008.jpg
9,captcha_ok,L3ZT,0.8986,2b658fb5e25b7642,L3ZT_0009.jpg,
10,captcha_ok,UHB4,0.9352,95219d99e25957ff,UHB4_0010.jpg,
11,captcha_ok,AF1W,0.9992,68516295860d8dcf,AF1W_0011.jpg,
12,captcha_ok,NBLS,0.9952,7b80050e6e46a86b,NBLS_0012.jpg,
13,captcha_ok,SOVY,0.983,c8f7545a7040e6f7,SOVY_0013.jpg,
14,captcha_ok,WSBY,0.9958,7a1a3963c42a253b,WSBY_0014.jpg,
15,captcha_ok,JARG,0.9205,059e9dab60b34ad3,JARG_0015.jpg,
16,captcha_ok,P0IS,0.9724,0a832636c3ae06bc,P0IS_0016.jpg,
17,captcha_ok,8U0Y,0.9975,af9769c2b73a7042,8U0Y_0017.jpg,
18,captcha_ok,8SKL,0.9992,b618f884e66fca42,8SKL_0018.jpg,
19,captcha_ok,O0GV,0.9635,4c6ff6acdf5fbdea,O0GV_0019.jpg,
20,captcha_ok,SN5R,0.9956,1d3bb677b2c70ce3,SN5R_0020.jpg,
21,captcha_ok,PUB3,0.9996,9436566dd0f5bfde,PUB3_0021.jpg,
22,captcha_ok,NXAD,0.941,922c04f390369d7e,NXAD_0022.jpg,
