attempt,verdict,pred,conf,sha256,confirmed_file,failed_file
1,captcha_ok,KU3A,0.9998,29e13d84fd2ed796,KU3A_0001.jpg,
2,captcha_ok,24CF,0.9994,c40af2281f47fb14,24CF_0002.jpg,
3,captcha_ok,E3EA,0.9998,16be76b57dcd2341,E3EA_0003.jpg,
4,captcha_ok,WAG8,0.9824,7462e4a1c0bf53af,WAG8_0004.jpg,
5,captcha_ok,U311,0.9974,9e575957d6520fc7,U311_0005.jpg,
6,captcha_ok,E4N7,0.998,9ab77e86e76e8e1e,E4N7_0006.jpg,
7,captcha_ok,2J0C,0.9961,0ad3bd65e6a0740d,2J0C_0007.jpg,
8,captcha_ok,VS8G,0.9988,ad34d2962882fa3c,VS8G_0008.jpg,
9,captcha_wrong,YWT,0.8942,d675cc8e82843bd7,,fail_0009.jpg
10,captcha_ok,O42G,0.9984,914e0009550b1765,O42G_0010.jpg,
11,captcha_ok,U7A2,0.999,5f975767dec7c437,U7A2_0011.jpg,
12,captcha_wrong,HQVZ,0.7392,e18600ca1ba010ad,,fail_0012.jpg
13,captcha_ok,ZR8M,0.999,98c6cb1202629512,ZR8M_0013.jpg,
14,captcha_ok,QM3U,0.9274,4bce6527d55df5e6,QM3U_0014.jpg,
15,captcha_ok,2O6J,0.9933,07c8c86aa1545142,2O6J_0015.jpg,
16,captcha_ok,7VCF,0.9995,0e9edd5aa5b49887,7VCF_0016.jpg,
17,captcha_ok,2UPN,0.9998,c56e536ee5e83afd,2UPN_0017.jpg,
18,captcha_ok,UJYA,0.9792,a2c792357e3ce828,UJYA_0018.jpg,
19,captcha_ok,O25K,0.9952,790626af9abe64ba,O25K_0019.jpg,
20,captcha_ok,0QL0,0.9925,cfad6c9141f963c7,0QL0_0020.jpg,
21,captcha_ok,1Z2K,0.9893,799358d1538e79c2,1Z2K_0021.jpg,
22,captcha_ok,RXTR,0.9983,17a8b0589da0559a,RXTR_0022.jpg,
23,captcha_ok,528R,0.9996,91a5214660861e0b,528R_0023.jpg,
24,captcha_ok,TXNL,0.8277,33a1b3bb8fd32e51,TXNL_0024.jpg,
25,captcha_ok,3D25,0.9995,ee8a6a676dec0074,3D25_0025.jpg,
26,captcha_ok,17BH,0.892,f819fa1b65b4ea33,17BH_0026.jpg,
27,captcha_ok,JGYG,0.9998,9d3ba2afdf8717d2,JGYG_0027.jpg,
28,captcha_ok,ZZ9N,0.9994,288df74052858fd4,ZZ9N_0028.jpg,
29,captcha_ok,BYTH,0.8881,20ffb14c01f538f4,BYTH_0029.jpg,
30,captcha_ok,Q3F4,0.9586,ad4b4c05499e6dd7,Q3F4_0030.jpg,
31,captcha_ok,GS0O,0.9965,5bac44454fd88618,GS0O_0031.jpg,
32,captcha_ok,6NXF,0.9968,30c89f1aee67d253,6NXF_0032.jpg,
33,captcha_ok,MRZS,0.9084,fc8d0f95a777a7af,MRZS_0033.jpg,
34,captcha_ok,TNRP,0.994,a951087dcf73fea1,TNRP_0034.jpg,
35,captcha_wrong,M3ON,0.8426,e605d83b3b401b20,,fail_0035.jpg
