attempt,verdict,pred,conf,sha256,confirmed_file,failed_file
1,captcha_ok,FVY4,0.9666,4acf0b517bfadce9,FVY4_0001.jpg,
2,captcha_ok,76F6,0.8792,149eb5ac3c3db921,76F6_0002.jpg,
3,captcha_ok,ZD5U,0.9999,9148d038fde80650,ZD5U_0003.jpg,
4,captcha_wrong,VWT,0.914,0334918b89ba9571,,fail_0004.jpg
5,captcha_ok,04MH,0.9237,87f89da3a601f1a5,04MH_0005.jpg,
6,captcha_ok,ZXPV,0.8692,f03dfc49d5024985,ZXPV_0006.jpg,
7,captcha_ok,1JEL,0.9881,ffd64b62c4090f9a,1JEL_0007.jpg,
8,captcha_ok,ERVI,0.9971,7fd46dc9451ffb43,ERVI_0008.jpg,
9,captcha_ok,D3GM,0.9999,03a910680cb8ec89,D3GM_0009.jpg,
10,captcha_wrong,LM0,0.971,a436c52236c3073d,,fail_0010.jpg
11,captcha_ok,RYD7,0.9714,0cf0043054af5eda,RYD7_0011.jpg,
12,captcha_ok,EYWG,0.9926,3969c60a680fba34,EYWG_0012.jpg,
13,captcha_ok,AKG1,0.9996,a7f6bc43e91c0a20,AKG1_0013.jpg,
14,captcha_ok,0G4X,0.9839,4cd34a72469a1554,0G4X_0014.jpg,
15,captcha_ok,UGLM,0.8814,32788a58880b54ab,UGLM_0015.jpg,
16,captcha_ok,AW1B,0.9358,16a524709fabe9ef,AW1B_0016.jpg,
17,captcha_ok,KCXE,0.9914,f0fd768f57066953,KCXE_0017.jpg,
18,captcha_ok,J5VF,0.9914,518c1417dacec341,J5VF_0018.jpg,
19,captcha_ok,M1IH,0.9012,31e484be2842082b,M1IH_0019.jpg,
20,captcha_ok,HNTL,0.8954,b0c949fd2191e02c,HNTL_0020.jpg,
21,captcha_wrong,T0L4,0.987,558588075a5747c5,,fail_0021.jpg
22,captcha_ok,3CQ8,0.9817,20090dd58492cc46,3CQ8_0022.jpg,
23,captcha_ok,RB9Y,0.9999,bfe0d478aed5c2c8,RB9Y_0023.jpg,
24,captcha_ok,ZHQ9,0.9936,1446d43de676b4c1,ZHQ9_0024.jpg,
25,captcha_ok,ULRX,0.9999,d8bbd01298fc38f5,ULRX_0025.jpg,
26,captcha_ok,JARN,0.9886,fa880ba847bd04ac,JARN_0026.jpg,
27,captcha_ok,1PZX,0.9995,53d0a72d643428cf,1PZX_0027.jpg,
28,captcha_wrong,LV3IT,0.8651,888459f46db1e2b2,,fail_0028.jpg
29,captcha_wrong,J8LI,0.8771,7cec540def3dd0f4,,fail_0029.jpg
30,captcha_ok,OL1Z,0.9249,f6796a621ff115b2,OL1Z_0030.jpg,
31,captcha_ok,CPI8,0.9986,7aa409b2aa6b1bf9,CPI8_0031.jpg,
32,captcha_wrong,GMB0,0.8903,314b39c78749082c,,fail_0032.jpg
33,captcha_ok,I2U2,0.926,0b174ed75e793197,I2U2_0033.jpg,
34,captcha_wrong,HW813,0.9874,323d6fdde824fb05,,fail_0034.jpg
35,captcha_wrong,QXQO,0.7219,999c79b592d60465,,fail_0035.jpg
36,captcha_ok,HG56,0.9999,5a1f4cc1d45699cb,HG56_0036.jpg,
37,captcha_ok,IBBH,0.9984,b842f5e1c5148e92,IBBH_0037.jpg,
38,captcha_wrong,M5NA,0.8589,86ed53c36ef66569,,fail_0038.jpg
39,captcha_ok,3WPU,0.9999,1f44e433f21a5719,3WPU_0039.jpg,
40,captcha_ok,HPE0,0.9986,ff5534a13c45af1a,HPE0_0040.jpg,
41,captcha_ok,5UOT,0.9838,b71d9bbed67c2443,5UOT_0041.jpg,
42,captcha_ok,SO6F,0.9684,13272411e46abbdb,SO6F_0042.jpg,
43,captcha_ok,DQHF,0.9608,ad46ff7e15e4a0fa,DQHF_0043.jpg,
44,captcha_ok,83PB,0.9542,e23d4ede134fd7e4,83PB_0044.jpg,
45,captcha_ok,0PKF,0.9966,be50ece9105f588d,0PKF_0045.jpg,
46,captcha_ok,DZNX,0.9995,218c60f059fda462,DZNX_0046.jpg,
47,captcha_ok,B2VN,0.9299,de890bb2ef341eb3,B2VN_0047.jpg,
48,captcha_ok,G8IV,0.9905,01e28b351ecd1708,G8IV_0048.jpg,
49,captcha_ok,DDAD,0.9758,caaf3dd5b80de3e2,DDAD_0049.jpg,
50,captcha_ok,3AF9,0.9311,31f21f278dccf614,3AF9_0050.jpg,
51,captcha_ok,NFMM,0.9901,d12fc70cdb7f3626,NFMM_0051.jpg,
52,captcha_ok,7ICC,0.9919,bc4e11ff91bdec78,7ICC_0052.jpg,
53,captcha_ok,L1EJ,0.9987,52c78d0e91c8ea5f,L1EJ_0053.jpg,
54,captcha_ok,DY9P,0.9577,5f41b36d15716231,DY9P_0054.jpg,
55,captcha_wrong,HLF,0.9998,86f392dc9e8fd3dd,,fail_0055.jpg
56,captcha_ok,QSZ9,0.7936,2c9ef845a4ade9b0,QSZ9_0056.jpg,
57,captcha_ok,MKIK,0.9429,46db0649f778db14,MKIK_0057.jpg,
58,captcha_ok,9G5K,0.9303,c6a09f53e3cd1970,9G5K_0058.jpg,
59,captcha_ok,31N2,0.9965,98538ef23669cc45,31N2_0059.jpg,
60,captcha_wrong,4C60,0.7979,4ccd98cf249c9ca4,,fail_0060.jpg
61,captcha_ok,8Y3L,0.9996,4b5760afa947db59,8Y3L_0061.jpg,
62,captcha_ok,73OS,0.9965,f9e96644866b8c40,73OS_0062.jpg,
63,captcha_ok,FNAV,0.9991,007c3f3698773918,FNAV_0063.jpg,
64,captcha_ok,H8AZ,0.9259,838d24f8a5244c4c,H8AZ_0064.jpg,
65,captcha_ok,2WOE,0.9785,f79339849dd281ed,2WOE_0065.jpg,
66,captcha_wrong,SMLO,0.6994,0293c81c76178289,,fail_0066.jpg
67,captcha_ok,RNSW,0.999,65d392dec2af0a24,RNSW_0067.jpg,
68,captcha_ok,DQY2,0.8616,a6c6741c2e8b3ce8,DQY2_0068.jpg,
69,captcha_wrong,61M,0.946,485ba85a0d35e280,,fail_0069.jpg
70,captcha_ok,LQVA,0.9755,9f20b5cb4001cb4c,LQVA_0070.jpg,
71,captcha_ok,KZY8,0.9967,399472bcda238184,KZY8_0071.jpg,
72,captcha_wrong,7OXE,0.9896,89797f34d4c5c4d3,,fail_0072.jpg
73,captcha_ok,AAJR,0.964,bf6fcef8cc0404fc,AAJR_0073.jpg,
74,captcha_wrong,BN88,0.7817,d1fe9df4dcebc948,,fail_0074.jpg
75,captcha_ok,KQ6K,0.9894,77e3d3d1047e85da,KQ6K_0075.jpg,
76,captcha_ok,ZV1X,0.9992,81a340d2adca2e96,ZV1X_0076.jpg,
77,captcha_ok,DAD8,0.9982,15d7d6dd90dcb31f,DAD8_0077.jpg,
78,captcha_ok,6WH1,0.9939,b77df7b2cc652354,6WH1_0078.jpg,
79,captcha_ok,R96B,1.0,2112a11f4874e8ba,R96B_0079.jpg,
80,captcha_ok,P15M,0.9913,4329ef7dd47b8ee2,P15M_0080.jpg,
81,captcha_ok,4HPK,0.9988,898da3cc2b53f1db,4HPK_0081.jpg,
82,captcha_ok,0AM0,0.9307,79f73a0928002957,0AM0_0082.jpg,
83,captcha_ok,LFOU,0.9042,885d3ad8dddafde3,LFOU_0083.jpg,
84,captcha_ok,HQC0,0.9175,9d89f57473658cb0,HQC0_0084.jpg,
85,captcha_ok,JZVT,0.8161,951478a97007fa98,JZVT_0085.jpg,
86,captcha_ok,WFAA,0.9995,a04c7e00dbc5f40a,WFAA_0086.jpg,
87,captcha_ok,D0ED,0.9889,c2a199bf8b11d968,D0ED_0087.jpg,
88,captcha_ok,X9ZG,0.9988,d8c92193a3bee32e,X9ZG_0088.jpg,
89,captcha_wrong,MKYK,0.9716,a7d86cc502efcb93,,fail_0089.jpg
90,captcha_ok,6KQX,0.9349,b34c8c2ab48a13ee,6KQX_0090.jpg,
91,captcha_ok,8P1N,0.9992,bb9451b28909b36f,8P1N_0091.jpg,
92,captcha_ok,PDMU,0.9977,c2b62f8359049492,PDMU_0092.jpg,
93,captcha_ok,42AK,0.9974,ebc25cec802305d5,42AK_0093.jpg,
94,captcha_wrong,WB34,0.9829,c692e1b1f8b0c35d,,fail_0094.jpg
95,captcha_ok,WDX6,0.9587,4268912a62e28d41,WDX6_0095.jpg,
96,captcha_wrong,GQKV,0.8963,8d1182b6c592c2dc,,fail_0096.jpg
97,captcha_ok,7UCE,0.9897,237013ee80f8f46d,7UCE_0097.jpg,
98,captcha_ok,M7MH,0.9478,3cff8484534bc2f8,M7MH_0098.jpg,
99,captcha_ok,0TFQ,0.9994,a143608153880faf,0TFQ_0099.jpg,
100,captcha_ok,NF4V,0.9982,45b23e3a92044a0b,NF4V_0100.jpg,
101,captcha_ok,XO4E,0.989,61940936690d70b7,XO4E_0101.jpg,
102,captcha_ok,TE6R,1.0,5237974ac5a499a2,TE6R_0102.jpg,
103,captcha_wrong,WK3,0.9975,57aae0a473df2b72,,fail_0103.jpg
104,captcha_ok,88MR,0.9998,7d1b71f934d59656,88MR_0104.jpg,
105,captcha_ok,F7Q7,0.931,672da874d7767b45,F7Q7_0105.jpg,
106,captcha_ok,FQQE,0.9323,b2dfda8371a0654f,FQQE_0106.jpg,
107,captcha_ok,3VBF,0.999,8f7cc2c0fa919098,3VBF_0107.jpg,
108,captcha_ok,7NX3,0.9942,af3df5f3ca06d762,7NX3_0108.jpg,
109,captcha_ok,7U3I,0.9485,db0f662a66ed93b3,7U3I_0109.jpg,
110,captcha_ok,0FUU,0.9821,fea73661cc15394f,0FUU_0110.jpg,
111,captcha_ok,2SX5,0.9994,ba5196f2c948e6bd,2SX5_0111.jpg,
112,captcha_ok,IBLS,0.9908,c597fd99e357fab1,IBLS_0112.jpg,
113,captcha_ok,SPH1,0.9915,443040574fade78d,SPH1_0113.jpg,
114,captcha_wrong,UDXF,0.9423,f53f8f230bba3d6a,,fail_0114.jpg
115,captcha_ok,ZAX1,0.9999,af9cf1bb67bf530a,ZAX1_0115.jpg,
116,captcha_ok,04V3,0.9262,7d17df0bae2242c3,04V3_0116.jpg,
117,captcha_ok,NB8P,0.9928,06c407f09c3db5a1,NB8P_0117.jpg,
118,captcha_ok,WM4U,0.957,7735e7cc2cfe3456,WM4U_0118.jpg,
119,captcha_wrong,MPF,0.9986,2abebfe7e4c567e2,,fail_0119.jpg
120,captcha_ok,LXM1,0.9481,9ee2f6fb182f4da1,LXM1_0120.jpg,
121,captcha_wrong,16FO,0.9058,0b79e654d3407ea5,,fail_0121.jpg
