attempt,verdict,pred,conf,sha256,confirmed_file,failed_file
1,captcha_ok,OXF2,0.9835,251552bed39a481c,OXF2_0001.jpg,
2,captcha_wrong,8I5,0.9037,790bcd28f36ad56b,,fail_0002.jpg
3,captcha_ok,4OLR,0.997,e2d4d507ed43a9ed,4OLR_0003.jpg,
4,captcha_ok,531C,0.9705,5155cfb25dafe4e9,531C_0004.jpg,
5,captcha_ok,JPSS,0.9999,15bbc2aad6aba606,JPSS_0005.jpg,
6,captcha_ok,CF5J,0.9646,cd80adf3ddceb752,CF5J_0006.jpg,
7,captcha_ok,GQ7S,0.9885,4cd90c60a6e4db2f,GQ7S_0007.jpg,
8,captcha_ok,GZVY,0.9989,2657c38063aa4cf7,GZVY_0008.jpg,
9,captcha_ok,E2YB,0.9987,8aea283b697db355,E2YB_0009.jpg,
10,captcha_ok,P4EE,0.9999,90639d93dbfd9de4,P4EE_0010.jpg,
11,captcha_ok,D92L,0.9996,22ab0a5deff093a5,D92L_0011.jpg,
12,captcha_ok,9HQT,0.9533,3ec490f26c9038c6,9HQT_0012.jpg,
13,captcha_ok,3049,0.9977,e4714eb23ac06c35,3049_0013.jpg,
14,captcha_ok,34NM,0.999,9af7ff14e932257c,34NM_0014.jpg,
15,captcha_ok,KBSS,0.997,f9c81da06cec54df,KBSS_0015.jpg,
16,captcha_wrong,DA3F,0.8083,5643c5ba112f4f7f,,fail_0016.jpg
17,captcha_ok,CK5T,0.996,2e67f068c52e38f9,CK5T_0017.jpg,
18,captcha_ok,1R5P,0.9879,60f6a18f2824b6db,1R5P_0018.jpg,
19,captcha_ok,FX6Z,0.9968,c5ef08ba7eb68dd6,FX6Z_0019.jpg,
20,captcha_ok,PBRM,0.9996,57c4a9ac88af2518,PBRM_0020.jpg,
21,captcha_ok,RAXD,0.9676,3e64fc6e91cbcbd5,RAXD_0021.jpg,
22,captcha_ok,06PF,0.9971,e964999909957559,06PF_0022.jpg,
23,captcha_ok,RUFR,0.9996,c330006dd92d359f,RUFR_0023.jpg,
24,captcha_ok,KQYL,0.9902,ccabb57e630100e0,KQYL_0024.jpg,
25,captcha_ok,S68J,0.8877,8a21afa8a9077fe4,S68J_0025.jpg,
26,captcha_ok,5QCQ,0.9807,6d453853a2e1ca17,5QCQ_0026.jpg,
27,captcha_ok,9UGF,0.9964,fb40236f0f84f93c,9UGF_0027.jpg,
28,captcha_ok,G5DR,0.9998,851ae8ee7470fa38,G5DR_0028.jpg,
29,captcha_ok,F53G,0.9997,79c9505760d0b293,F53G_0029.jpg,
30,captcha_ok,8IRU,0.9828,b199046675372367,8IRU_0030.jpg,
31,captcha_ok,AGB7,0.9901,3b1059fbfc17da54,AGB7_0031.jpg,
32,captcha_ok,SFEG,0.9216,be18b04d207ca769,SFEG_0032.jpg,
33,captcha_ok,VW4M,0.8593,7213e0f91ed29cd0,VW4M_0033.jpg,
34,captcha_ok,1DP1,0.9664,c830bcc2e4d915ec,1DP1_0034.jpg,
35,captcha_ok,WHX7,0.9106,d0156c5476579703,WHX7_0035.jpg,
36,captcha_ok,F1S8,0.9962,b1f3f39a0bb79996,F1S8_0036.jpg,
37,captcha_ok,9VNQ,0.9771,53f202fabc48ca08,9VNQ_0037.jpg,
38,captcha_wrong,FM2,0.9807,de05e39e8f4fa122,,fail_0038.jpg
39,captcha_ok,91H9,0.998,ebc8e10b1f239578,91H9_0039.jpg,
40,captcha_ok,17W7,0.8529,c400cfc29cd965f9,17W7_0040.jpg,
41,captcha_ok,QHYK,0.982,f45d788a8c3cef3e,QHYK_0041.jpg,
42,captcha_ok,R37Z,0.9999,b7c579bdca6a6410,R37Z_0042.jpg,
43,captcha_wrong,9XML,0.9012,adc054a48c1929c6,,fail_0043.jpg
44,captcha_ok,OY0R,0.9925,997c555b343fab42,OY0R_0044.jpg,
45,captcha_ok,HIPF,0.9926,46f913420591876c,HIPF_0045.jpg,
46,captcha_ok,YF96,0.8945,9b206fe994934f28,YF96_0046.jpg,
47,captcha_wrong,0HWI,0.7957,68d64c5d70bd357f,,fail_0047.jpg
48,captcha_ok,G4A1,0.9277,0b9d410fd2811f45,G4A1_0048.jpg,
49,captcha_ok,T9Q6,0.9953,4a0f27db26912072,T9Q6_0049.jpg,
50,captcha_ok,OQTA,0.887,91386749dd54051d,OQTA_0050.jpg,
