source_file,label,predicted_file,min_confidence
raw_0000.jpg,BVQV,BVQV.jpg,1.0
raw_0001.jpg,9YME,9YME.jpg,1.0
raw_0002.jpg,5DNC,5DNC.jpg,0.9999
raw_0003.jpg,TSDH,TSDH.jpg,1.0
raw_0004.jpg,VFFC,VFFC.jpg,1.0
raw_0005.jpg,4GCK,4GCK.jpg,1.0
raw_0006.jpg,CC2Z,CC2Z.jpg,1.0
raw_0007.jpg,VDGK,VDGK.jpg,1.0
raw_0008.jpg,6V2A,6V2A.jpg,1.0
raw_0009.jpg,PH49,PH49.jpg,1.0
raw_0010.jpg,TD4S,TD4S.jpg,0.9999
raw_0011.jpg,AUB8,AUB8.jpg,1.0
raw_0012.jpg,VMQ6,VMQ6.jpg,1.0
raw_0013.jpg,5GCN,5GCN.jpg,1.0
raw_0014.jpg,CE5W,CE5W.jpg,1.0
raw_0015.jpg,ZWGQ,ZWGQ.jpg,1.0
raw_0016.jpg,4CSH,4CSH.jpg,1.0
raw_0017.jpg,VZFS,VZFS.jpg,1.0
raw_0018.jpg,KWKR,KWKR.jpg,1.0
raw_0019.jpg,49YH,49YH.jpg,1.0
raw_0020.jpg,4YXY,4YXY.jpg,0.9998
raw_0021.jpg,BJPK,BJPK.jpg,1.0
raw_0022.jpg,GESV,GESV.jpg,0.9999
raw_0023.jpg,Q4F8,Q4F8.jpg,0.9994
raw_0024.jpg,XSK3,XSK3.jpg,1.0
raw_0025.jpg,CV6A,CV6A.jpg,0.9998
raw_0026.jpg,FBKN,FBKN.jpg,1.0
raw_0027.jpg,XF2C,XF2C.jpg,1.0
raw_0028.jpg,8RNM,8RNM.jpg,1.0
raw_0029.jpg,STXD,STXD.jpg,1.0
raw_0030.jpg,EDHF,EDHF.jpg,0.9999
raw_0031.jpg,DFJD,DFJD.jpg,0.9998
raw_0032.jpg,G29Z,G29Z.jpg,1.0
raw_0033.jpg,KVXQ,KVXQ.jpg,1.0
raw_0034.jpg,PURY,PURY.jpg,1.0
raw_0035.jpg,UDUP,UDUP.jpg,0.9802
raw_0036.jpg,3DPD,3DPD.jpg,1.0
raw_0037.jpg,SDWM,SDWM.jpg,1.0
raw_0038.jpg,RHK2,RHK2.jpg,0.9999
raw_0039.jpg,2RR8,2RR8.jpg,1.0
raw_0040.jpg,QXZB,QXZB.jpg,1.0
raw_0041.jpg,H3YF,H3YF.jpg,1.0
raw_0042.jpg,SPB6,SPB6.jpg,1.0
raw_0043.jpg,ZFVT,ZFVT.jpg,1.0
raw_0044.jpg,NGNH,NGNH.jpg,1.0
raw_0045.jpg,KCPZ,KCPZ.jpg,1.0
raw_0046.jpg,FS59,FS59.jpg,1.0
raw_0047.jpg,HYGN,HYGN.jpg,1.0
raw_0048.jpg,RAHJ,RAHJ.jpg,0.9999
raw_0049.jpg,SXKF,SXKF.jpg,1.0
raw_0050.jpg,NWM5,NWM5.jpg,0.9923
raw_0051.jpg,NT8G,NT8G.jpg,0.9989
raw_0052.jpg,EPM2,EPM2.jpg,1.0
raw_0053.jpg,XWJG,XWJG.jpg,1.0
raw_0054.jpg,FE3D,FE3D.jpg,1.0
raw_0055.jpg,AAT9,AAT9.jpg,1.0
raw_0056.jpg,TGH4,TGH4.jpg,1.0
raw_0057.jpg,NWEN,NWEN.jpg,1.0
raw_0058.jpg,QZNC,QZNC.jpg,1.0
raw_0059.jpg,DHWK,DHWK.jpg,0.9999
raw_0060.jpg,EPVT,EPVT.jpg,1.0
raw_0061.jpg,MVT9,MVT9.jpg,0.9998
raw_0062.jpg,SSBN,SSBN.jpg,1.0
raw_0063.jpg,FTQA,FTQA.jpg,1.0
raw_0064.jpg,4YFR,4YFR.jpg,1.0
raw_0065.jpg,3ZTA,3ZTA.jpg,1.0
raw_0066.jpg,ACW5,ACW5.jpg,1.0
raw_0067.jpg,5MBZ,5MBZ.jpg,1.0
raw_0068.jpg,RDQR,RDQR.jpg,1.0
raw_0069.jpg,CHN2,CHN2.jpg,1.0
raw_0070.jpg,BWWC,BWWC.jpg,0.9998
raw_0071.jpg,WGA9,WGA9.jpg,1.0
raw_0072.jpg,SSPQ,SSPQ.jpg,1.0
raw_0073.jpg,HHSH,HHSH.jpg,1.0
raw_0074.jpg,QRUW,QRUW.jpg,0.9997
raw_0075.jpg,6APB,6APB.jpg,1.0
raw_0076.jpg,RSKQ,RSKQ.jpg,1.0
raw_0077.jpg,88EB,88EB.jpg,1.0
raw_0078.jpg,BRPU,BRPU.jpg,1.0
raw_0079.jpg,4K6Z,4K6Z.jpg,1.0
raw_0080.jpg,DPEM,DPEM.jpg,0.9986
raw_0081.jpg,FGBT,FGBT.jpg,1.0
raw_0082.jpg,NBAY,NBAY.jpg,0.9944
raw_0083.jpg,V549,V549.jpg,1.0
raw_0084.jpg,CQHA,CQHA.jpg,1.0
raw_0085.jpg,A49F,A49F.jpg,1.0
raw_0086.jpg,NMZP,NMZP.jpg,1.0
raw_0087.jpg,D9G9,D9G9.jpg,0.9985
raw_0088.jpg,S7W4,S7W4.jpg,1.0
raw_0089.jpg,NJBX,NJBX.jpg,1.0
raw_0090.jpg,VCQE,VCQE.jpg,1.0
raw_0091.jpg,4PJJ,4PJJ.jpg,1.0
raw_0092.jpg,5KZA,5KZA.jpg,1.0
raw_0093.jpg,NWH7,NWH7.jpg,1.0
raw_0094.jpg,2FM6,2FM6.jpg,0.9999
raw_0095.jpg,UYF3,UYF3.jpg,1.0
