file,model_pred,confidence,verdict,hint
fail_0004.jpg,VWT,0.914,captcha_wrong,验证码输入错误 请您重新输入!
fail_0010.jpg,LM0,0.971,captcha_wrong,验证码输入错误 请您重新输入!
fail_0021.jpg,T0L4,0.987,captcha_wrong,验证码输入错误 请您重新输入!
fail_0028.jpg,LV3IT,0.8651,captcha_wrong,验证码输入错误 请您重新输入!
fail_0029.jpg,J8LI,0.8771,captcha_wrong,验证码输入错误 请您重新输入!
fail_0032.jpg,GMB0,0.8903,captcha_wrong,验证码输入错误 请您重新输入!
fail_0034.jpg,HW813,0.9874,captcha_wrong,验证码输入错误 请您重新输入!
fail_0035.jpg,QXQO,0.7219,captcha_wrong,验证码输入错误 请您重新输入!
fail_0038.jpg,M5NA,0.8589,captcha_wrong,验证码输入错误 请您重新输入!
fail_0055.jpg,HLF,0.9998,captcha_wrong,验证码输入错误 请您重新输入!
fail_0060.jpg,4C60,0.7979,captcha_wrong,验证码输入错误 请您重新输入!
fail_0066.jpg,SMLO,0.6994,captcha_wrong,验证码输入错误 请您重新输入!
fail_0069.jpg,61M,0.946,captcha_wrong,验证码输入错误 请您重新输入!
fail_0072.jpg,7OXE,0.9896,captcha_wrong,验证码输入错误 请您重新输入!
fail_0074.jpg,BN88,0.7817,captcha_wrong,验证码输入错误 请您重新输入!
fail_0089.jpg,MKYK,0.9716,captcha_wrong,验证码输入错误 请您重新输入!
fail_0094.jpg,WB34,0.9829,captcha_wrong,验证码输入错误 请您重新输入!
fail_0096.jpg,GQKV,0.8963,captcha_wrong,验证码输入错误 请您重新输入!
fail_0103.jpg,WK3,0.9975,captcha_wrong,验证码输入错误 请您重新输入!
fail_0114.jpg,UDXF,0.9423,captcha_wrong,验证码输入错误 请您重新输入!
fail_0119.jpg,MPF,0.9986,captcha_wrong,验证码输入错误 请您重新输入!
fail_0121.jpg,16FO,0.9058,captcha_wrong,验证码输入错误 请您重新输入!
fail_0127.jpg,Y95BM,0.9832,captcha_wrong,验证码输入错误 请您重新输入!
fail_0132.jpg,WUPZ,0.8467,captcha_wrong,验证码输入错误 请您重新输入!
fail_0142.jpg,7H654,0.9295,captcha_wrong,验证码输入错误 请您重新输入!
fail_0155.jpg,L4MT,0.9065,captcha_wrong,验证码输入错误 请您重新输入!
fail_0158.jpg,JET,0.9962,captcha_wrong,验证码输入错误 请您重新输入!
fail_0160.jpg,HUSW,0.8091,captcha_wrong,验证码输入错误 请您重新输入!
fail_0162.jpg,5V3K,0.8996,captcha_wrong,验证码输入错误 请您重新输入!
fail_0165.jpg,DUFX,0.8351,captcha_wrong,验证码输入错误 请您重新输入!
fail_0171.jpg,UO70,0.9821,captcha_wrong,验证码输入错误 请您重新输入!
fail_0173.jpg,RKQB2,0.8946,captcha_wrong,验证码输入错误 请您重新输入!
fail_0176.jpg,TVJ4,0.7325,captcha_wrong,验证码输入错误 请您重新输入!
fail_0186.jpg,WB5R,0.9412,captcha_wrong,验证码输入错误 请您重新输入!
fail_0193.jpg,NUA1,0.9203,captcha_wrong,验证码输入错误 请您重新输入!
fail_0196.jpg,W152,0.8594,captcha_wrong,验证码输入错误 请您重新输入!
fail_0199.jpg,CZHX,0.9582,captcha_wrong,验证码输入错误 请您重新输入!
fail_0203.jpg,8UAD,0.8951,captcha_wrong,验证码输入错误 请您重新输入!
