file,model_pred,confidence,verdict,hint
fail_0002.jpg,8I5,0.9037,captcha_wrong,验证码输入错误 请您重新输入!
fail_0016.jpg,DA3F,0.8083,captcha_wrong,验证码输入错误 请您重新输入!
fail_0038.jpg,FM2,0.9807,captcha_wrong,验证码输入错误 请您重新输入!
fail_0043.jpg,9XML,0.9012,captcha_wrong,验证码输入错误 请您重新输入!
fail_0047.jpg,0HWI,0.7957,captcha_wrong,验证码输入错误 请您重新输入!
fail_0054.jpg,ZNQQ,0.9743,captcha_wrong,验证码输入错误 请您重新输入!
fail_0056.jpg,W5SC,0.8566,captcha_wrong,验证码输入错误 请您重新输入!
fail_0077.jpg,I1KG,0.8209,captcha_wrong,验证码输入错误 请您重新输入!
fail_0083.jpg,M4R1U,0.9375,captcha_wrong,验证码输入错误 请您重新输入!
fail_0088.jpg,JMWR,0.8331,captcha_wrong,验证码输入错误 请您重新输入!
fail_0090.jpg,OKEL,0.9135,captcha_wrong,验证码输入错误 请您重新输入!
fail_0099.jpg,L5JF9,0.8661,captcha_wrong,验证码输入错误 请您重新输入!
fail_0113.jpg,HG4W,0.9046,captcha_wrong,验证码输入错误 请您重新输入!
fail_0135.jpg,MYEK,0.8573,captcha_wrong,验证码输入错误 请您重新输入!
fail_0140.jpg,XMDF,0.9274,captcha_wrong,验证码输入错误 请您重新输入!
fail_0145.jpg,S9IL,0.8832,captcha_wrong,验证码输入错误 请您重新输入!
fail_0147.jpg,XEW,0.9992,captcha_wrong,验证码输入错误 请您重新输入!
fail_0168.jpg,Q2I9,0.9422,captcha_wrong,验证码输入错误 请您重新输入!
fail_0182.jpg,F5MA,0.8228,captcha_wrong,验证码输入错误 请您重新输入!
fail_0189.jpg,10FY,0.6992,captcha_wrong,验证码输入错误 请您重新输入!
fail_0200.jpg,YHVQ,0.8142,captcha_wrong,验证码输入错误 请您重新输入!
fail_0216.jpg,IXMB4,0.9146,captcha_wrong,验证码输入错误 请您重新输入!
fail_0217.jpg,CRZQ,0.9936,captcha_wrong,验证码输入错误 请您重新输入!
fail_0234.jpg,JVE,0.947,captcha_wrong,验证码输入错误 请您重新输入!
fail_0238.jpg,N6AA,0.8395,captcha_wrong,验证码输入错误 请您重新输入!
fail_0240.jpg,JLO,0.9137,captcha_wrong,验证码输入错误 请您重新输入!
fail_0254.jpg,SGR6,0.8386,captcha_wrong,验证码输入错误 请您重新输入!
fail_0260.jpg,AI7,0.9298,captcha_wrong,验证码输入错误 请您重新输入!
fail_0267.jpg,1B6Q,0.803,captcha_wrong,验证码输入错误 请您重新输入!
fail_0277.jpg,MF6A,0.8751,captcha_wrong,验证码输入错误 请您重新输入!
fail_0280.jpg,8WVL,0.8668,captcha_wrong,验证码输入错误 请您重新输入!
fail_0285.jpg,W6BD,0.9915,captcha_wrong,验证码输入错误 请您重新输入!
fail_0288.jpg,0A9J,0.7058,captcha_wrong,验证码输入错误 请您重新输入!
fail_0296.jpg,QONX,0.8347,captcha_wrong,验证码输入错误 请您重新输入!
fail_0298.jpg,ZKA,0.9976,captcha_wrong,验证码输入错误 请您重新输入!
fail_0311.jpg,WKMJ,0.8378,captcha_wrong,验证码输入错误 请您重新输入!
fail_0315.jpg,70E,0.9879,captcha_wrong,验证码输入错误 请您重新输入!
fail_0320.jpg,WWUY,0.8938,captcha_wrong,验证码输入错误 请您重新输入!
fail_0328.jpg,JIV0,0.959,captcha_wrong,验证码输入错误 请您重新输入!
fail_0332.jpg,ZMBB,0.9834,captcha_wrong,验证码输入错误 请您重新输入!
fail_0336.jpg,O300,0.8767,captcha_wrong,验证码输入错误 请您重新输入!
fail_0339.jpg,ISP,0.9672,captcha_wrong,验证码输入错误 请您重新输入!
fail_0341.jpg,8VX,0.85,captcha_wrong,验证码输入错误 请您重新输入!
fail_0350.jpg,OJQB,0.8001,captcha_wrong,验证码输入错误 请您重新输入!
fail_0353.jpg,HB4H,0.9656,captcha_wrong,验证码输入错误 请您重新输入!
fail_0360.jpg,5W7I,0.7941,captcha_wrong,验证码输入错误 请您重新输入!
